Temperature,Frequency,Time
27,50,2:41
27,50.02,2:43
27,50.01,2:46
27,50.03,2:48
27,49.97,2:51
27,50.02,2:53
27,50.03,2:56
27,50.06,2:58
27,50.05,3:01
27,50.05,3:03
27,50.09,3:06
27,50.08,3:08
27,50.05,3:11
27,50.05,3:13
27,50.05,3:16
27,50.04,3:18
27,50.03,3:21
27,50.02,3:23
27,50.04,3:26
27,50.06,3:28
27,50.07,3:31
27,50,3:33
27,50.03,3:36
27,50.05,3:38
27,50.05,3:41
27,50.01,3:43
27,50.05,3:46
27,50.05,3:48
27,50.05,3:51
27,50.04,3:53
27,50.06,3:56
27,50.05,3:58
27,50.03,4:01
27,50.02,4:03
27,50.02,4:06
27,50.02,4:08
27,50.02,4:11
27,50.01,4:14
27,49.97,4:16
27,49.99,4:19
27,49.95,4:21
27,50,4:24
27,49.98,4:26
27,49.99,4:29
27,49.98,4:32
27,50.02,4:34
27,49.99,4:37
26,50,4:39
26,50.03,4:42
26,50.01,4:44
26,49.95,4:47
26,50.02,4:50
26,50.03,4:52
26,50,4:55
26,50.04,4:57
26,50.03,5:00
26,50.08,5:02
26,50.07,5:05
26,50.04,5:07
26,50.02,5:10
26,49.97,5:12
26,50,5:15
26,50.01,5:17
26,50.03,5:20
26,50,5:22
26,49.99,5:25
26,50.04,5:27
26,49.98,5:30
26,50.05,5:32
26,49.98,5:35
26,49.91,5:38
26,49.96,5:40
26,49.97,5:43
26,50.04,5:45
26,50.05,5:48
26,49.97,5:50
26,49.96,5:53
26,50.03,5:55
26,49.96,5:58
26,49.99,6:00
26,50.06,6:03
26,50.02,6:05
26,49.93,6:08
26,49.96,6:10
26,49.98,6:13
26,50.01,6:15
26,49.96,6:18
26,49.96,6:20
26,49.96,6:23
26,49.99,6:25
26,49.97,6:28
26,50.03,6:30
26,50,6:33
26,49.98,6:35
26,49.99,6:38
27,49.99,6:41
27,49.98,6:43
27,50,6:46
27,50,6:48
27,49.95,6:51
27,50.02,6:53
27,50.01,6:56
27,49.99,6:58
27,50.03,7:01
27,50.01,7:03
27,50.01,7:06
27,50.02,7:09
27,49.98,7:11
27,50.04,7:14
27,49.98,7:16
27,49.95,7:19
27,49.95,7:21
27,49.98,7:24
27,49.98,7:26
27,49.99,7:29
27,49.92,7:31
27,49.92,7:34
27,49.9,7:36
27,49.9,7:39
27,49.9,7:41
27,49.92,7:44
27,50,7:46
27,49.99,7:49
27,49.95,7:51
27,50,7:54
27,49.98,7:56
27,50.02,7:59
27,50,8:01
27,50.01,8:04
27,49.96,8:06
27,50.01,8:09
27,49.98,8:11
27,49.98,8:14
27,49.99,8:16
27,49.93,8:19
27,50.02,8:21
27,50.05,8:24
27,50,8:26
27,49.98,8:29
27,50,8:32
27,50.01,8:34
27,49.99,8:37
27,49.98,8:40
28,49.95,8:42
28,49.95,8:45
28,49.94,8:47
28,50.01,8:50
28,49.95,8:52
28,49.98,8:55
28,50.01,8:57
28,50.02,9:00
28,50.05,9:02
28,50.05,9:05
28,49.96,9:07
28,49.99,9:10
28,49.99,9:12
28,50.03,9:15
28,50,9:17
28,50.02,9:20
28,50.05,9:23
28,50.06,9:25
28,50.02,9:28
28,50.06,9:30
28,50.06,9:33
28,50.03,9:35
28,50.06,9:38
29,50.02,9:40
29,50,9:43
29,50.07,9:45
29,50.06,9:48
29,49.98,9:50
29,49.97,9:53
29,50.02,9:55
29,50.01,9:58
29,50.01,10:00
29,50.04,10:03
29,50.05,10:05
29,50.05,10:08
29,49.98,10:10
29,50.03,10:13
29,50,10:16
29,50.02,10:18
29,50.04,10:21
29,50.06,10:23
29,50.06,10:26
29,50.1,10:28
29,50.1,10:31
29,50.16,10:33
29,50.18,10:36
29,50.2,10:38
29,50.2,10:42
29,50.19,10:45
29,50.16,10:47
29,50.16,10:50
